product_name,date,category,quantity,price,cost,total_cost,revenue,profit
Cinnamon coconut latte,7-2021,Presso,4,50000,9786,39144,200000,160856
Tra sa vai [Size M],7-2021,Non- Presso,4,45000,8383,33532,180000,146468
Caramel Macchiato,7-2021,Presso,4,45000,7744,30976,180000,149024
Oolong full leaf with almond milk tea,7-2021,Non- Presso,4,45000,11054,44216,180000,135784
Banana dalgona [Size M],7-2021,Presso,3,55000,18246,54738,165000,110262
Matcha Presso Fusion [Size M],7-2021,Presso,3,55000,11220,33660,165000,131340
Tra vai mo muoi,7-2021,Non- Presso,3,35000,3668,11004,105000,93996
Latte [Size M],7-2021,Presso,2,50000,10510,21020,100000,78980
Kumquat Soda,7-2021,Non- Presso,2,45000,8300,16600,90000,73400
Matcha Latte,7-2021,Non- Presso,2,40000,6014,12028,80000,67972
Den Da (size M),7-2021,Presso,2,35000,4418,8836,70000,61164
Doi qua sua hat,7-2021,Non- Presso,13,5000,8536,110968,65000,-45968
Americano (size M),7-2021,Presso,1,50000,5000,5000,50000,45000
Cappuccino (size M),7-2021,Presso,1,50000,10510,10510,50000,39490
Lychee Kombucha,7-2021,Non- Presso,1,45000,12357,12357,45000,32643
Salted Kumquat Cold Brew,7-2021,Presso,1,45000,5240,5240,45000,39760
Matcha Presso Fusion,7-2021,Presso,1,45000,7502,7502,45000,37498
Presso Shot,7-2021,Presso,8,5000,2500,20000,40000,20000
Mocha,7-2021,Presso,1,40000,9793,9793,40000,30207
Cappuccino,7-2021,Presso,1,40000,7744,7744,40000,32256
Americano,7-2021,Presso,1,40000,2500,2500,40000,37500
